timestamp,planet,day,population,gold,wood,stone,bread,weed,result,score
2026-03-23 11:16:32,nic,2,110,100,100,10,20,0,WIN,1830
2026-03-23 11:20:38,2,2,10,100,100,10,20,0,QUIT,330
